antenna	0	Antenna4	1.4	0.8571428571428571
antenna	1	Antenna4	2.8	0.8571428571428571
antenna	2	Antenna4	4.199999999999999	0.8571428571428571
antenna	3	Antenna4	5.6	0.8571428571428571
antenna	4	Antenna4	1.4	1.7142857142857142
antenna	5	Antenna4	2.8	1.7142857142857142
antenna	6	Antenna4	4.199999999999999	1.7142857142857142
antenna	7	Antenna4	5.6	1.7142857142857142
antenna	8	Antenna4	1.4	2.571428571428571
antenna	9	Antenna4	2.8	2.571428571428571
antenna	10	Antenna4	4.199999999999999	2.571428571428571
antenna	11	Antenna4	5.6	2.571428571428571
antenna	12	Antenna4	1.4	3.4285714285714284
antenna	13	Antenna4	2.8	3.4285714285714284
antenna	14	Antenna4	4.199999999999999	3.4285714285714284
antenna	15	Antenna4	5.6	3.4285714285714284
antenna	16	Antenna4	1.4	4.285714285714286
antenna	17	Antenna4	2.8	4.285714285714286
antenna	18	Antenna4	4.199999999999999	4.285714285714286
antenna	19	Antenna4	5.6	4.285714285714286
antenna	20	Antenna4	1.4	5.142857142857142
antenna	21	Antenna4	2.8	5.142857142857142
antenna	22	Antenna4	4.199999999999999	5.142857142857142
antenna	23	Antenna4	5.6	5.142857142857142
antenna	24	Antenna4	3.5	5.999999999999999
ue	0	UE1-App1	1.314181593105666	1.4359333876131615	app1
ue	1	UE1-App1	3.4434505820223897	1.5385011746921953	app1
ue	2	UE1-App1	6.407193267710168	1.1907683305116121	app1
ue	3	UE1-App1	4.217212240203562	2.660988492548399	app1
ue	4	UE1-App1	6.112519713576212	1.7983119836098496	app1
ue	5	UE1-App1	3.023299942655653	2.6689819731447764	app1
ue	6	UE1-App1	2.4709801151056667	1.0083527678961142	app1
ue	7	UE1-App1	3.6176547604913103	1.4380674987521145	app1
ue	8	UE1-App1	4.585596786927943	1.349384807295912	app1
ue	9	UE1-App1	2.8927538424151797	3.2416085415347187	app1
ue	10	UE1-App1	6.432391913706994	1.4638228068924755	app1
ue	11	UE1-App1	1.8530503865890064	4.950359221794008	app1
ue	12	UE1-App1	1.1274158489019355	5.555752740451603	app1
ue	13	UE1-App1	4.440448514085563	2.3266085263078162	app1
ue	14	UE1-App1	6.027025865170806	4.843973737399917	app1
ue	15	UE1-App1	3.0607729489357878	5.007482956460165	app1
ue	16	UE1-App1	2.2411748239966682	4.044512630952767	app1
ue	17	UE1-App1	4.1624497129685	5.046692623219024	app1
ue	18	UE1-App1	2.8915789132959286	2.991190757339496	app1
ue	19	UE1-App1	5.615674539483543	3.563760669320325	app1
ue	20	UE1-App1	5.109023311966036	4.191766321527494	app1
ue	21	UE1-App1	4.999945786439086	5.450492852684512	app1
ue	22	UE1-App1	3.916818820861384	4.342351109515736	app1
ue	23	UE1-App1	3.2471297909349	1.1592065337055093	app1
ue	24	UE1-App1	5.5250390311532325	1.9073245795752043	app1
ue	25	UE1-App1	5.9211411066029855	5.568229559321148	app1
ue	26	UE1-App1	4.948444944406476	1.850634438354541	app1
ue	27	UE1-App1	3.021496916750237	2.955966535356514	app1
ue	28	UE1-App1	1.4397446687421194	3.2838353510072684	app1
ue	29	UE1-App1	4.4390110870631885	2.6805304965491703	app1
ue	30	UE2-App2	2.134371217468459	1.4407864746303802	app2
ue	31	UE2-App2	4.7699051363847556	1.064145546263067	app2
ue	32	UE2-App2	3.1114820985892067	2.145648822401421	app2
ue	33	UE2-App2	4.191984944090588	4.618316755596207	app2
ue	34	UE2-App2	6.454919653820676	4.1940041962155075	app2
ue	35	UE2-App2	6.950758598511494	5.820295861519409	app2
ue	36	UE2-App2	4.779944258345473	2.166865920430798	app2
ue	37	UE2-App2	3.90286889585888	1.8879486528695253	app2
ue	38	UE2-App2	6.951746636765302	3.222499600745371	app2
ue	39	UE2-App2	5.50990094816518	1.2206492800322195	app2
ue	40	UE2-App2	1.8083656038198015	1.9658848502117685	app2
ue	41	UE2-App2	2.5381740837792552	2.7602376522483807	app2
ue	42	UE2-App2	2.63157911396051	3.1713429180632686	app2
ue	43	UE2-App2	3.5221439004103243	1.5431041724080083	app2
ue	44	UE2-App2	1.375652648969901	2.7753072346393957	app2
ue	45	UE2-App2	1.5327334292041734	3.1660015693858057	app2
ue	46	UE2-App2	1.0513672886372158	3.6790050930328224	app2
ue	47	UE2-App2	1.4409039562903148	4.471029573496175	app2
ue	48	UE2-App2	3.425243602505484	5.926740874441637	app2
ue	49	UE2-App2	2.5752401183142997	3.3625537020352168	app2
