antenna	0	Antenna1	1400.0	857.1428571428571
antenna	1	Antenna1	2800.0	857.1428571428571
antenna	2	Antenna1	4200.0	857.1428571428571
antenna	3	Antenna1	5600.0	857.1428571428571
antenna	4	Antenna1	1400.0	1714.2857142857142
antenna	5	Antenna1	2800.0	1714.2857142857142
antenna	6	Antenna1	4200.0	1714.2857142857142
antenna	7	Antenna1	5600.0	1714.2857142857142
antenna	8	Antenna1	1400.0	2571.4285714285716
antenna	9	Antenna1	2800.0	2571.4285714285716
antenna	10	Antenna1	4200.0	2571.4285714285716
antenna	11	Antenna1	5600.0	2571.4285714285716
antenna	12	Antenna1	1400.0	3428.5714285714284
antenna	13	Antenna1	2800.0	3428.5714285714284
antenna	14	Antenna1	4200.0	3428.5714285714284
antenna	15	Antenna1	5600.0	3428.5714285714284
antenna	16	Antenna1	1400.0	4285.714285714285
antenna	17	Antenna1	2800.0	4285.714285714285
antenna	18	Antenna1	4200.0	4285.714285714285
antenna	19	Antenna1	5600.0	4285.714285714285
antenna	20	Antenna1	1400.0	5142.857142857142
antenna	21	Antenna1	2800.0	5142.857142857142
antenna	22	Antenna1	4200.0	5142.857142857142
antenna	23	Antenna1	5600.0	5142.857142857142
antenna	24	Antenna1	3500.0	5999.999999999999
ue	0	UE1-App1	367.4928283577593	524.0328784582713	app1
ue	1	UE1-App1	2851.2851039291177	647.0937093956959	app1
ue	2	UE1-App1	6308.490946783911	229.8838429478321	app1
ue	3	UE1-App1	3753.878078197454	1993.8539933595694	app1
ue	4	UE1-App1	5964.754245886651	958.8147179350975	app1
ue	5	UE1-App1	2361.1793831078194	2003.4445713791026	app1
ue	6	UE1-App1	1716.8983042707603	11.02165092175791	app1
ue	7	UE1-App1	3054.4942781131135	526.5933850027868	app1
ue	8	UE1-App1	4183.598651951445	420.1918917936354	app1
ue	9	UE1-App1	2208.897357177307	2690.4819281333553	app1
ue	10	UE1-App1	6337.885167339207	557.4946037095921	app1
ue	11	UE1-App1	996.083275956076	4740.640994308451	app1
ue	12	UE1-App1	149.63058774410771	5466.992137993834	app1
ue	13	UE1-App1	4014.283191680809	1592.6649098641183	app1
ue	14	UE1-App1	5865.025671721745	4612.999690132421	app1
ue	15	UE1-App1	2404.891644933596	4809.178051160906	app1
ue	16	UE1-App1	1448.8304321921137	3653.806254617129	app1
ue	17	UE1-App1	3689.9975901777552	4856.221809338185	app1
ue	18	UE1-App1	2207.526802359701	2390.030670655927	app1
ue	19	UE1-App1	5385.184350307552	3077.000051050526	app1
ue	20	UE1-App1	4794.1756934083805	3830.481232568687	app1
ue	21	UE1-App1	4666.936759881194	5340.701324650877	app1
ue	22	UE1-App1	3403.469154534804	4011.1528611969793	app1
ue	23	UE1-App1	2622.276901125561	192.01599913987005	app1
ue	24	UE1-App1	5279.458029840246	1089.6080305743303	app1
ue	25	UE1-App1	5741.511100852383	5481.961825273514	app1
ue	26	UE1-App1	4606.861027650154	1021.5911991377784	app1
ue	27	UE1-App1	2359.0761533891514	2347.768649120745	app1
ue	28	UE1-App1	513.9621560876823	2741.1456541385205	app1
ue	29	UE1-App1	4012.6064330592094	2017.3004897596943	app1
ue	30	UE2-App2	1324.2440251769572	529.8556122615302	app2
ue	31	UE2-App2	4398.594341592818	77.96182640642766	app2
ue	32	UE2-App2	2464.04386800431	1375.549457117225	app2
ue	33	UE2-App2	3724.4504372816705	4342.256443364329	app2
ue	34	UE2-App2	6364.163776181819	3833.1662346193652	app2
ue	35	UE2-App2	6942.559905163657	5784.390974650987	app2
ue	36	UE2-App2	4410.304977359995	1401.0057313328714	app2
ue	37	UE2-App2	3387.1965670193836	1066.3607937128563	app2
ue	38	UE2-App2	6943.712451786724	2667.5550209742955	app2
ue	39	UE2-App2	5261.799456034683	265.7350061826571	app2
ue	40	UE2-App2	943.9584768557985	1159.8686432840798	app2
ue	41	UE2-App2	1795.280068728501	2112.9331351676074	app2
ue	42	UE2-App2	1904.2370364349345	2606.17723309231	app2
ue	43	UE2-App2	2943.0808598286435	652.6163860551283	app2
ue	44	UE2-App2	439.19881502338956	2131.013620120347	app2
ue	45	UE2-App2	622.4335451666683	2599.76868294909	app2
ue	46	UE2-App2	60.91994219531229	3215.2703106207805	app2
ue	47	UE2-App2	515.3144650126521	4165.54128228071	app2
ue	48	UE2-App2	2830.0466623226475	5912.103701155076	app2
ue	49	UE2-App2	1838.5175980136305	2835.591931701853	app2
